"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.603088667E0,1.373768234E1,-5.941594391E0,2.041305084E0
2.613148667E0,1.522184601E1,-5.703589325E0,2.736908569E0
2.623208667E0,1.769200928E1,-5.535339203E0,4.019142151E0
2.633269667E0,1.843760880E1,-5.258864136E0,4.362378387E0
2.643329667E0,1.832399506E1,-4.341871033E0,3.835025024E0
2.653389667E0,1.813823135E1,-2.974913635E0,3.093467102E0
2.663449667E0,1.674148590E1,-1.934726715E0,2.246528320E0
2.673509667E0,1.432610870E1,-2.291434937E0,1.661544800E0
2.683569667E0,1.144969025E1,-3.488046570E0,2.840044098E0
2.693629667E0,8.500074005E0,-3.768712921E0,4.559219055E0
2.703689667E0,5.924978943E0,-4.508324890E0,5.331612854E0
2.713749667E0,4.110751648E0,-5.509892120E0,4.415817261E0
2.723809667E0,3.388503571E0,-5.120851135E0,1.850002899E0
2.733869667E0,3.076701965E0,-4.203558655E0,-3.016227722E-1
2.743929667E0,3.660937042E0,-3.301534424E0,-1.563498688E0
2.753989667E0,5.817203064E0,-2.423161011E0,-1.973346405E0
2.764049667E0,8.238717499E0,-1.556014252E0,-1.517394562E0
2.774109667E0,9.597741394E0,-9.740245056E-1,-3.498225403E-1
2.784169667E0,9.650581512E0,-1.159788208E0,6.195616150E-1
2.794229667E0,8.950487366E0,-2.260000305E0,6.328839111E-1
2.804289667E0,8.218509521E0,-3.770060120E0,-2.290237427E-1
2.814349667E0,7.202272797E0,-5.241051178E0,-1.272503815E0
2.824409667E0,6.125711517E0,-6.073470154E0,-2.314786377E0
2.834469667E0,5.725443878E0,-6.086792450E0,-3.203188934E0
2.844529667E0,6.020779724E0,-5.571563873E0,-3.927083588E0
2.854589667E0,6.352489929E0,-4.911586304E0,-4.123475189E0
2.864649667E0,6.809339905E0,-4.393064575E0,-3.856879578E0
2.874709667E0,7.307354279E0,-4.081262970E0,-3.188968506E0
2.884769667E0,7.122488708E0,-4.152215424E0,-1.919608154E0
2.894829667E0,6.142626343E0,-4.596940613E0,-6.732998657E-1
2.904889667E0,5.111720123E0,-5.058430939E0,-2.080673218E-2
2.914949667E0,5.046904907E0,-5.034181366E0,4.924758911E-1
2.925009667E0,5.900879059E0,-4.799020386E0,1.336720276E0
2.935069667E0,7.072043610E0,-4.492906952E0,2.144440613E0
2.945129667E0,7.783963165E0,-3.717220001E0,2.707868958E0
2.955189667E0,8.338410187E0,-2.561024323E0,3.254831543E0
2.965249667E0,8.560997314E0,-1.925296326E0,3.881278839E0
2.975309667E0,8.147557068E0,-2.191143494E0,3.825894012E0
2.985369667E0,7.922874298E0,-2.574047241E0,3.368894348E0
2.995429667E0,7.908803558E0,-3.254232788E0,3.424728241E0
3.005490667E0,7.209906921E0,-4.230951691E0,4.430037689E0
3.015550667E0,6.301595764E0,-4.705614624E0,5.644312592E0
3.025610667E0,5.795947266E0,-4.553231506E0,6.121669922E0
3.035670667E0,5.991590424E0,-4.238436127E0,5.762866058E0
3.045730667E0,5.887556763E0,-4.297263794E0,4.012855225E0
3.055790667E0,5.594915314E0,-4.130959625E0,1.537303162E0
3.065850667E0,6.315816193E0,-3.495231628E0,-4.132905579E-1
3.075910667E0,7.331903229E0,-3.052901459E0,-1.130748596E0
3.085970667E0,8.495733032E0,-2.248623962E0,-9.807604980E-1
3.096030667E0,9.677375793E0,-1.631157990E0,-7.029382324E-1
3.106090667E0,1.017314484E1,-2.043101349E0,-3.731739807E-1
3.116150667E0,1.007105713E1,-2.898273010E0,4.427792358E-1
3.126210667E0,9.911788330E0,-3.268153839E0,1.300046539E0
3.136270667E0,9.507329407E0,-3.242706757E0,1.839973755E0
3.146330667E0,9.036857758E0,-3.160377960E0,2.269430695E0
3.156390667E0,8.807684326E0,-3.413950653E0,2.782713318E0
3.166450667E0,8.972341919E0,-3.674259338E0,2.906505890E0
3.176510667E0,9.354946289E0,-3.563040619E0,2.478545837E0
3.186570667E0,9.752369843E0,-3.040776672E0,1.931583252E0
3.196630667E0,9.951156464E0,-2.478994904E0,1.309776306E0
3.206690667E0,9.978848877E0,-2.266586609E0,8.378077698E-1
3.216750667E0,1.029229706E1,-2.672692108E0,1.625619507E-1
3.226810667E0,1.059691360E1,-3.450923767E0,-6.945556641E-2
3.236870667E0,1.073941727E1,-3.572471008E0,1.347198486E-3
3.246931375E0,1.085063599E1,-3.095712433E0,-2.722837830E-1
3.256991375E0,1.069915100E1,-2.564467163E0,-7.655081177E-1
3.267051375E0,1.008318192E1,-2.109413452E0,-9.921368408E-1
3.277111375E0,9.104067993E0,-1.637444916E0,-5.325924683E-1
3.287171375E0,7.869136047E0,-1.256337433E0,1.657054138E-1
3.297231375E0,7.189698944E0,-1.053808594E0,6.676116943E-1
3.307291375E0,7.404053192E0,-1.099613342E0,1.149759064E0
3.317351375E0,7.931556244E0,-1.193168793E0,2.210902405E0
3.327411375E0,8.330326996E0,-1.198557587E0,3.705095215E0
3.337472375E0,8.424181824E0,-1.246757355E0,5.460045776E0
3.347532375E0,8.648565216E0,-1.235979767E0,5.749394073E0
3.357592375E0,8.999136200E0,-6.725514221E-1,4.252656555E0
3.367652375E0,9.159452820E0,1.188528442E-1,1.881587219E0
3.377712375E0,9.426198120E0,8.349636841E-1,-2.707868958E-1
3.387772375E0,9.477241974E0,7.062313843E-1,-1.937720490E0
3.397832375E0,9.415719910E0,-1.025367737E-1,-1.902693329E0
3.407892375E0,9.639953613E0,-5.257067871E-1,2.185455322E-1
3.417952375E0,1.021670425E1,-6.912625122E-1,2.537223816E0
3.428012375E0,1.040591080E1,-8.466394043E-1,4.696782990E0
3.438072375E0,9.744586029E0,-7.590715027E-1,6.513405304E0
3.448132375E0,8.752000122E0,-6.704557800E-1,7.533384247E0
3.458192375E0,7.771239624E0,-9.084608459E-1,7.638316040E0
3.468252375E0,6.917564850E0,-1.228345642E0,6.617139587E0
3.478312375E0,6.352040863E0,-1.692979431E0,4.900659027E0
3.488372375E0,6.505322113E0,-2.344873810E0,2.557880859E0
3.498432375E0,7.683072968E0,-2.515668640E0,1.477427673E-1
3.508492375E0,8.924291840E0,-2.476599884E0,-1.139131165E0
3.518552375E0,1.002121078E1,-2.137105865E0,-1.082698517E0
3.528612375E0,1.088701035E1,-1.536704407E0,-3.016227722E-1
3.538672375E0,1.200024536E1,-1.186283112E0,8.532257080E-1
3.548732375E0,1.300450699E1,-1.417103119E0,2.271676025E0
3.558792375E0,1.295825317E1,-1.790726166E0,3.064726868E0
3.568852375E0,1.195653625E1,-1.974992981E0,2.911445618E0
3.578912375E0,1.052012329E1,-2.233954468E0,2.532733154E0
3.588972375E0,9.059909821E0,-2.576741638E0,2.648292847E0
3.599032375E0,8.007598114E0,-3.014431458E0,3.066672821E0
3.609092375E0,7.728578339E0,-3.554208984E0,3.752396851E0
3.619152375E0,7.920928345E0,-4.002077637E0,4.358486481E0
3.629213375E0,8.157586212E0,-3.973038025E0,4.060007172E0
3.639273375E0,8.403375092E0,-3.595822449E0,3.413501587E0
3.649333375E0,9.076824646E0,-2.876717834E0,2.715203705E0
3.659393375E0,1.020802231E1,-1.685045929E0,1.866917725E0
3.669453375E0,1.065065186E1,-6.342311096E-1,1.192869415E0
3.679513375E0,1.041189835E1,-6.885681152E-2,9.241781616E-1
3.689573375E0,9.910291443E0,1.797761536E-1,8.494834900E-1
3.699633375E0,8.839568024E0,-1.408570862E-1,8.794212341E-1
3.709693375E0,7.780520325E0,-1.082698517E0,1.066083069E0
3.719753375E0,7.253765717E0,-2.135159912E0,1.253792725E0
3.729813375E0,6.976691895E0,-2.991229706E0,1.370250549E0
3.739873375E0,6.958429871E0,-3.465742950E0,1.789828033E0
3.749933375E0,7.513176270E0,-3.290607147E0,2.527943115E0
3.759993375E0,8.537196808E0,-2.671943665E0,3.281625824E0
3.770053375E0,9.635013885E0,-1.830393677E0,3.734134827E0
