"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.999307625E0,6.949149170E0,-2.477198639E0,7.846682739E-1
3.009368625E0,7.268884277E0,-2.470462646E0,4.951702881E-1
3.019430625E0,7.498806152E0,-2.487527161E0,2.291734314E-1
3.029491625E0,7.426356812E0,-2.518961792E0,-5.538482666E-3
3.039553625E0,7.267088013E0,-2.714006195E0,-3.249742126E-1
3.049614625E0,7.103627930E0,-2.931653595E0,-6.256988525E-1
3.059675625E0,7.102430420E0,-3.078647919E0,-8.949888611E-1
3.069737625E0,7.178472290E0,-3.366798706E0,-9.479786682E-1
3.079798625E0,7.381450195E0,-3.873794403E0,-8.508306885E-1
3.089860625E0,7.669750671E0,-4.109554138E0,-5.267546082E-1
3.099921625E0,7.970774689E0,-3.959416351E0,-2.643502808E-1
3.109982625E0,8.768914948E0,-3.477718048E0,3.682342529E-2
3.120044625E0,1.014275803E1,-2.789449310E0,5.478607178E-1
3.130105625E0,1.177182037E1,-2.003583527E0,1.563947754E0
3.140167625E0,1.303519318E1,-1.194965057E0,2.539020081E0
3.150228625E0,1.370250549E1,-6.976991272E-1,3.102598114E0
3.160289625E0,1.365490448E1,-7.053332520E-1,3.198249207E0
3.170351625E0,1.311662384E1,-1.134191437E0,2.990181885E0
3.180412625E0,1.220337296E1,-1.952689362E0,2.715652771E0
3.190473625E0,1.117695740E1,-2.985092468E0,2.171384583E0
3.200535625E0,1.036429733E1,-3.723357239E0,1.495090942E0
3.210596625E0,9.924661560E0,-4.015100555E0,8.023315430E-1
3.220658625E0,1.012030472E1,-4.036955109E0,2.077679443E-1
3.230719625E0,1.089314758E1,-4.089046783E0,-2.604583740E-2
3.240780625E0,1.176029434E1,-4.284989319E0,3.281176758E-1
3.250842625E0,1.219334381E1,-4.520000610E0,1.218615875E0
3.260903625E0,1.261786102E1,-4.643044739E0,2.214494934E0
3.270965625E0,1.286170395E1,-4.906347198E0,2.939287720E0
3.281026625E0,1.278626083E1,-5.358107758E0,3.610042877E0
3.291087625E0,1.242506195E1,-5.563181305E0,3.960613861E0
3.301149625E0,1.198273178E1,-5.442382507E0,3.969445496E0
3.311210625E0,1.142529099E1,-4.937781830E0,3.683839417E0
3.321272625E0,1.078866486E1,-4.364773407E0,3.073558502E0
3.331333625E0,1.045111679E1,-4.050576782E0,2.321522369E0
3.341394625E0,1.041593994E1,-3.867507477E0,1.543590088E0
3.351456625E0,1.053030212E1,-3.567531281E0,8.352630615E-1
3.361517625E0,1.054122940E1,-3.223696289E0,6.601272583E-2
3.371578625E0,1.045246399E1,-3.010539551E0,-3.885919189E-1
3.381640625E0,1.019470001E1,-2.967728577E0,-4.367916870E-1
3.391701625E0,9.980794830E0,-2.973267059E0,-4.894821167E-2
3.401763625E0,9.934840393E0,-3.093018036E0,4.299060059E-1
3.411824625E0,1.025068359E1,-3.370989990E0,8.810678101E-1
3.421885625E0,1.070064789E1,-3.781735840E0,1.246457977E0
3.431947625E0,1.111348938E1,-4.236639862E0,1.712738342E0
3.442008625E0,1.140388550E1,-4.614304504E0,2.146835632E0
3.452070625E0,1.145492935E1,-4.760700073E0,2.432591400E0
3.462131625E0,1.119731506E1,-4.663701782E0,2.225721588E0
3.472192625E0,1.084419937E1,-4.394411774E0,1.562600555E0
3.482254625E0,1.031415161E1,-3.925586700E0,9.300160217E-1
3.492315625E0,9.652677155E0,-3.390150146E0,6.364764404E-1
3.502377625E0,9.122180328E0,-3.069217529E0,7.551795959E-1
3.512438625E0,8.770561523E0,-3.063379669E0,1.171014862E0
